ID_human,ID_mouse,mondo_id_human,mondo_id_mouse,log2(prob/prior)_human,log2(prob/prior)_mouse,depth_human,depth_mouse,pair_type
GSE59612,GSE97489,MONDO_0020665,MONDO_0005089,3.596082955986964,2.610966458672149,1,1,branch
GSE59810,GSE101678,MONDO_0000618,MONDO_0021063,2.0277318769325605,1.144102921016778,4,4,branch
GSE60065,GSE88905,MONDO_0011996,MONDO_0018874,3.290818847447236,3.5580997999231685,5,5,branch
GSE60106,GSE83298,MONDO_0005575,MONDO_0008315,2.1570814448497497,4.161732494388352,3,3,branch
GSE60182,GSE78510,MONDO_0004989,MONDO_0009831,3.6119665268729775,5.392618613612327,2,2,branch
GSE60407,GSE66457,MONDO_0009831,MONDO_0005096,3.929144686626484,2.79428758730084,2,2,branch
GSE60477,GSE71493,MONDO_0000637,MONDO_0020665,1.6004625231624727,3.425670835208587,1,1,branch
GSE60997,GSE83651,MONDO_0006256,MONDO_0008315,1.320413446672002,4.108459122180579,3,3,branch
GSE61290,GSE74138,MONDO_0009831,MONDO_0001187,5.32350963759877,1.325259061760668,2,2,branch
GSE61727,GSE72146,MONDO_0004989,MONDO_0005096,3.925227850553165,1.0084004118560723,2,2,branch
GSE62093,GSE95478,MONDO_0008170,MONDO_0005192,4.984779079399629,2.8139623635405613,3,3,branch
GSE62118,GSE54246,MONDO_0008903,MONDO_0005096,1.3708790230818169,3.3932404556549645,2,2,branch
GSE62121,GSE101994,MONDO_0011996,MONDO_0005494,2.057335687013709,1.240583036796228,5,5,branch
GSE62190,GSE70031,MONDO_0018874,MONDO_0011996,4.616381718519622,2.0667960145152926,5,5,branch
GSE62212,GSE55310,MONDO_0018177,MONDO_0004643,2.7971085335394013,1.256944281727079,4,4,branch
GSE62563,GSE90116,MONDO_0100342,MONDO_0009831,4.017561815078397,2.764781132837785,2,2,branch
GSE62731,GSE78228,MONDO_0018177,MONDO_0005034,4.317659549743061,1.069317228391897,4,4,branch
GSE62789,GSE89823,MONDO_0004989,MONDO_0001187,2.8878915501888875,2.8270163999397973,2,2,branch
GSE62905,GSE45893,MONDO_0002516,MONDO_0005627,1.7544157291191624,1.750375230156051,1,1,branch
GSE62966,GSE94566,MONDO_0007254,MONDO_0009831,2.768146490230464,3.976412664592291,2,2,branch
GSE63122,GSE77646,MONDO_0002108,MONDO_0005159,2.275161662538266,3.7217404350842407,2,2,branch
GSE63124,GSE86301,MONDO_0009831,MONDO_0004989,2.755433137388155,3.942355102552644,2,2,branch
GSE63183,GSE62125,MONDO_0006295,MONDO_0005627,4.580361237296743,1.3929281650934016,1,1,branch
GSE63381,GSE68472,MONDO_0021345,MONDO_0008170,2.7788787514905304,3.232237888754923,3,3,branch
GSE63452,GSE58916,MONDO_0004989,MONDO_0009807,2.416079645866966,1.15052248565767,2,2,branch
GSE63485,GSE101994,MONDO_0018874,MONDO_0005494,3.379240529781724,1.240583036796228,5,5,branch
GSE63511,GSE86261,MONDO_0015075,MONDO_0009831,5.557125674606863,4.069892002382243,2,2,branch
GSE63582,GSE79889,MONDO_0000618,MONDO_0018177,2.27162105194916,2.091821608152164,4,4,branch
GSE63646,GSE98063,MONDO_0018874,MONDO_0011996,3.725661205419641,1.1762566400237688,5,5,branch
GSE63721,GSE66457,MONDO_0007254,MONDO_0005096,1.969416039226778,2.79428758730084,2,2,branch
GSE63764,GSE74762,MONDO_0001056,MONDO_0005096,2.9942880357986765,1.9436286254909567,2,2,branch
GSE63840,GSE89992,MONDO_0009831,MONDO_0005814,3.3393094712541256,1.3146355413731337,2,2,branch
GSE63950,GSE76033,MONDO_0024331,MONDO_0005061,1.7335194584996336,3.425567720763131,3,3,branch
GSE64017,GSE104305,MONDO_0024331,MONDO_0008315,1.7200065475452144,2.1234702702272803,3,3,branch
GSE64082,GSE104264,MONDO_0008315,MONDO_0005061,3.136766501877497,3.7650631842915256,3,3,branch
GSE64317,GSE84759,MONDO_0009693,MONDO_0009831,3.6310873672756014,3.788488394771003,2,2,branch
GSE64367,GSE66551,MONDO_0004989,MONDO_0009831,4.060041323147027,1.0520368705015588,2,2,branch
GSE64399,GSE79014,MONDO_0005086,MONDO_0008315,3.659077605661442,1.44468936594353,3,3,branch
GSE64451,GSE71493,MONDO_0006295,MONDO_0020665,2.565767181462,3.425670835208587,1,1,branch
GSE64558,GSE70981,MONDO_0009831,MONDO_0009693,3.371002564318734,1.4860607299885884,2,2,branch
